,name,n_or_f,name_len
0,abbott alvaro,f,13
1,abbott amos,f,11
2,abbott anderson,f,15
3,abbott bert,f,11
4,abbott blair,f,12
5,abbott caleb,f,12
6,abbott chase,f,12
7,abbott chong,f,12
8,abbott christopher,f,18
9,abbott dante,f,12
10,abbott darnell,f,14
11,abbott darwin,f,13
12,abbott delmer,f,13
13,abbott dominique,f,16
14,abbott edwardo,f,14
15,abbott emery,f,12
16,abbott hyman,f,12
17,abbott jarred,f,13
18,abbott josiah,f,13
19,abbott leo,f,10
20,abbott leonel,f,13
21,abbott lucio,f,12
22,abbott michael,f,14
23,abbott modesto,f,14
24,abbott philip,f,13
25,abbott ricardo,f,14
26,abbott rich,f,11
27,abbott roland,f,13
28,abbott rolando,f,14
29,abbott roy,f,10
30,abbott sheldon,f,14
31,abbott shelton,f,14
32,abbott theron,f,13
33,abbott walker,f,13
34,acevedo ali,f,11
35,acevedo bob,f,11
36,acevedo bruno,f,13
37,acevedo chang,f,13
38,acevedo clyde,f,13
39,acevedo curtis,f,14
40,acevedo darryl,f,14
41,acevedo derick,f,14
42,acevedo eddy,f,12
43,acevedo emmanuel,f,16
44,acevedo fred,f,12
45,acevedo harris,f,14
46,acevedo horace,f,14
47,acevedo hyman,f,13
48,acevedo israel,f,14
49,acevedo issac,f,13
50,acevedo jacques,f,15
51,acevedo jessie,f,14
52,acevedo jesus,f,13
53,acevedo jonas,f,13
54,acevedo jose,f,12
55,acevedo kenton,f,14
56,acevedo lowell,f,14
57,acevedo lucio,f,13
58,acevedo mikel,f,13
59,acevedo milton,f,14
60,acevedo nicholas,f,16
61,acevedo nick,f,12
62,acevedo quentin,f,15
63,acevedo roberto,f,15
64,acevedo robt,f,12
65,acevedo salvador,f,16
66,acevedo simon,f,13
67,acevedo stevie,f,14
68,acosta arnold,f,13
69,acosta asa,f,10
70,acosta blake,f,12
71,acosta bobby,f,12
72,acosta brenton,f,14
73,acosta carl,f,11
74,acosta casey,f,12
75,acosta charley,f,14
76,acosta clarence,f,15
77,acosta clemente,f,15
78,acosta corey,f,12
79,acosta dominique,f,16
80,acosta duane,f,12
81,acosta eloy,f,11
82,acosta ernest,f,13
83,acosta everett,f,14
84,acosta felipe,f,13
85,acosta foster,f,13
86,acosta george,f,13
87,acosta greg,f,11
88,acosta guillermo,f,16
89,acosta irvin,f,12
90,acosta irving,f,13
91,acosta isreal,f,13
92,acosta jame,f,11
93,acosta jamie,f,12
94,acosta jeff,f,11
95,acosta jeramy,f,13
96,acosta johnathan,f,16
97,acosta jordon,f,13
98,acosta joseph,f,13
99,acosta josh,f,11
100,acosta kristopher,f,17
101,acosta lynwood,f,14
102,acosta man,f,10
103,acosta mckinley,f,15
104,acosta moises,f,13
105,acosta neil,f,11
106,acosta noel,f,11
107,acosta oscar,f,12
108,acosta owen,f,11
109,acosta rob,f,10
110,acosta scott,f,12
111,adams alfredo,f,13
112,adams andre,f,11
113,adams anthony,f,13
114,adams armando,f,13
115,adams bart,f,10
116,adams bobby,f,11
117,adams chet,f,10
118,adams dane,f,10
119,adams denny,f,11
120,adams dewey,f,11
121,adams douglas,f,13
122,adams ed,f,8
123,adams ethan,f,11
124,adams everette,f,14
125,adams gaylord,f,13
126,adams gene,f,10
127,adams harrison,f,14
128,adams hilario,f,13
129,adams homer,f,11
130,adams irvin,f,11
131,adams isiah,f,11
132,adams jamar,f,11
133,adams jamie,f,11
134,adams kendall,f,13
135,adams kim,f,9
136,adams lonnie,f,12
137,adams marshall,f,14
138,adams mel,f,9
139,adams melvin,f,12
140,adams modesto,f,13
141,adams mohammad,f,14
142,adams noe,f,9
143,adams norman,f,12
144,adams pablo,f,11
145,adams pat,f,9
146,adams patricia,f,14
147,adams percy,f,11
148,adams peter,f,11
149,adams prince,f,12
150,adams quintin,f,13
151,adams ramon,f,11
