,name,n_or_f,name_len
0,aaron ashley,f,12
1,aaron barron,f,12
2,aaron becker,f,12
3,aaron berger,f,12
4,aaron boone,f,11
5,aaron bowers,f,12
6,aaron brandt,f,12
7,aaron burch,f,11
8,aaron dalton,f,12
9,aaron duran,f,11
10,aaron esparza,f,13
11,aaron estrada,f,13
12,aaron farmer,f,12
13,aaron fitzpatrick,f,17
14,aaron flores,f,12
15,aaron hamilton,f,14
16,aaron harvey,f,12
17,aaron hayden,f,12
18,aaron holloway,f,14
19,aaron hull,f,10
20,aaron lynn,f,10
21,aaron mccall,f,12
22,aaron mcgee,f,11
23,aaron mcintosh,f,14
24,aaron mckinney,f,14
25,aaron ochoa,f,11
26,aaron oconnell,f,14
27,aaron padilla,f,13
28,aaron parks,f,11
29,aaron peck,f,10
30,aaron perry,f,11
31,aaron phelps,f,12
32,aaron pineda,f,12
33,aaron pittman,f,13
34,aaron ramsey,f,12
35,aaron rice,f,10
36,aaron riley,f,11
37,aaron rollins,f,13
38,aaron rosario,f,13
39,aaron roth,f,10
40,aaron shields,f,13
41,aaron sloan,f,11
42,aaron tapia,f,11
43,aaron ventura,f,13
44,aaron wilson,f,12
45,aaron winters,f,13
46,aaron zimmerman,f,15
47,abdul beil,f,10
48,abdul booth,f,11
49,abdul bradford,f,14
50,abdul bryan,f,11
51,abdul byrd,f,10
52,abdul cabrera,f,13
53,abdul carrillo,f,14
54,abdul carter,f,12
55,abdul decker,f,12
56,abdul faulkner,f,14
57,abdul garcia,f,12
58,abdul guerra,f,12
59,abdul hammond,f,13
60,abdul herman,f,12
61,abdul jarvis,f,12
62,abdul knapp,f,11
63,abdul lara,f,10
64,abdul lim,f,9
65,abdul lynch,f,11
66,abdul martinez,f,14
67,abdul mora,f,10
68,abdul morse,f,11
69,abdul mullins,f,13
70,abdul odonnell,f,14
71,abdul quinn,f,11
72,abdul rasmussen,f,15
73,abdul rhodes,f,12
74,abdul roy,f,9
75,abdul salinas,f,13
76,abdul schwartz,f,14
77,abdul shelton,f,13
78,abdul shields,f,13
79,abdul singleton,f,15
80,abdul snow,f,10
81,abdul sparks,f,12
82,abdul spence,f,12
83,abdul tang,f,10
84,abdul vang,f,10
85,abdul villegas,f,14
86,abdul waller,f,12
87,abe acevedo,f,11
88,abe ahmed,f,9
89,abe baldwin,f,11
90,abe barrera,f,11
91,abe farley,f,10
92,abe gibbs,f,9
93,abe gill,f,8
94,abe gray,f,8
95,abe greene,f,10
96,abe hayes,f,9
97,abe houston,f,11
98,abe humphrey,f,12
99,abe ibarra,f,10
100,abe klein,f,9
101,abe lim,f,7
102,abe mccall,f,10
103,abe mcfarland,f,13
104,abe odonnell,f,12
105,abe pierce,f,10
