name,n_or_f,name_len
abbott adolfo,f,13
abbott alfred,f,13
abbott alvaro,f,13
abbott amos,f,11
abbott arden,f,12
abbott barry,f,12
abbott benedict,f,15
abbott bert,f,11
abbott billy,f,12
abbott chase,f,12
abbott christopher,f,18
abbott dorian,f,13
abbott elvis,f,12
abbott emerson,f,14
abbott fabian,f,13
abbott frankie,f,14
abbott freddie,f,14
abbott george,f,13
abbott gerald,f,13
abbott gregory,f,14
abbott hai,f,10
abbott hong,f,11
abbott jacinto,f,14
abbott jamel,f,12
abbott jimmie,f,13
abbott jonah,f,12
abbott jordon,f,13
abbott justin,f,13
abbott kasey,f,12
abbott kelly,f,12
abbott kenneth,f,14
abbott larry,f,12
abbott leo,f,10
abbott leonardo,f,15
abbott lonny,f,12
abbott luigi,f,12
abbott mikel,f,12
abbott nick,f,11
abbott osvaldo,f,14
abbott reyes,f,12
abbott riley,f,12
abbott robby,f,12
abbott scotty,f,13
abbott sebastian,f,16
abbott shelton,f,14
abbott vern,f,11
abbott wilbert,f,14
abbott zack,f,11
acevedo alberto,f,15
acevedo alonso,f,14
acevedo arturo,f,14
acevedo barton,f,14
acevedo brock,f,13
acevedo bryant,f,14
acevedo bryce,f,13
acevedo buddy,f,13
acevedo buster,f,14
acevedo carlos,f,14
acevedo cary,f,12
acevedo cedrick,f,15
acevedo charley,f,15
acevedo chuck,f,13
acevedo connie,f,14
acevedo cristobal,f,17
acevedo delmer,f,14
acevedo derrick,f,15
acevedo dexter,f,14
acevedo don,f,11
acevedo donald,f,14
acevedo dong,f,12
acevedo felipe,f,14
acevedo foster,f,14
acevedo franklin,f,16
acevedo geoffrey,f,16
acevedo hipolito,f,16
acevedo homer,f,13
acevedo jerald,f,14
acevedo jermaine,f,16
acevedo johnny,f,14
acevedo johnson,f,15
acevedo jorge,f,13
acevedo josef,f,13
acevedo lee,f,11
acevedo leonardo,f,16
acevedo linwood,f,15
acevedo logan,f,13
acevedo long,f,12
acevedo luke,f,12
acevedo lyle,f,12
acevedo lynn,f,12
acevedo melvin,f,14
acevedo mose,f,12
acevedo nathan,f,14
acevedo nickolas,f,16
acevedo nicolas,f,15
acevedo norbert,f,15
acevedo paul,f,12
acevedo porfirio,f,16
acevedo quintin,f,15
acevedo randy,f,13
acevedo raymon,f,14
acevedo riley,f,13
acevedo roger,f,13
acevedo rosario,f,15
acevedo rueben,f,14
acevedo scottie,f,15
acevedo sonny,f,13
acevedo ward,f,12
acevedo wilber,f,14
acevedo willie,f,14
acosta alonso,f,13
acosta antoine,f,14
acosta art,f,10
acosta benedict,f,15
acosta blair,f,12
acosta bryant,f,13
acosta buster,f,13
acosta charley,f,14
acosta cole,f,11
acosta cyrus,f,12
acosta damon,f,12
acosta dirk,f,11
acosta domenic,f,14
acosta dustin,f,13
acosta edwin,f,12
acosta emory,f,12
acosta enoch,f,12
acosta ernesto,f,14
acosta filiberto,f,16
acosta frederic,f,15
acosta gail,f,11
acosta geraldo,f,14
acosta howard,f,13
acosta hyman,f,12
acosta issac,f,12
acosta jamie,f,12
acosta jan,f,10
acosta jean,f,11
acosta jonah,f,12
acosta jordon,f,13
acosta karl,f,11
acosta kasey,f,12
acosta kevin,f,12
acosta lemuel,f,13
acosta luigi,f,12
acosta malcom,f,13
acosta man,f,10
acosta nathanial,f,16
acosta oliver,f,13
acosta oren,f,11
acosta phillip,f,14
acosta reginald,f,15
acosta reyes,f,12
acosta rocky,f,12
acosta roland,f,13
acosta salvador,f,15
acosta silas,f,12
acosta thanh,f,12
acosta van,f,10
acosta vance,f,12
acosta warner,f,13
acosta wilbur,f,13
adams anderson,f,14
adams andre,f,11
adams benedict,f,14
adams chadwick,f,14
adams colby,f,11
adams colton,f,12
adams dane,f,10
adams danial,f,12
adams darius,f,12
adams dennis,f,12
adams dion,f,10
adams dong,f,10
adams donn,f,10
adams dorian,f,12
adams duane,f,11
adams eduardo,f,13
adams emile,f,11
adams erwin,f,11
adams ezequiel,f,14
adams felipe,f,12
adams ferdinand,f,15
adams foster,f,12
adams garrett,f,13
adams gerardo,f,13
adams hector,f,12
