,name,n_or_f,name_len
1,abbott alfred,f,13
2,abbott alvaro,f,13
3,abbott amos,f,11
4,abbott arden,f,12
5,abbott barry,f,12
6,abbott benedict,f,15
7,abbott bert,f,11
8,abbott billy,f,12
9,abbott chase,f,12
10,abbott christopher,f,18
11,abbott dorian,f,13
12,abbott elvis,f,12
13,abbott emerson,f,14
14,abbott fabian,f,13
15,abbott frankie,f,14
17,abbott george,f,13
18,abbott gerald,f,13
19,abbott gregory,f,14
21,abbott hong,f,11
22,abbott jacinto,f,14
23,abbott jamel,f,12
24,abbott jimmie,f,13
25,abbott jonah,f,12
26,abbott jordon,f,13
27,abbott justin,f,13
28,abbott kasey,f,12
29,abbott kelly,f,12
30,abbott kenneth,f,14
32,abbott leo,f,10
33,abbott leonardo,f,15
34,abbott lonny,f,12
35,abbott luigi,f,12
37,abbott nick,f,11
38,abbott osvaldo,f,14
39,abbott reyes,f,12
42,abbott scotty,f,13
43,abbott sebastian,f,16
44,abbott shelton,f,14
45,abbott vern,f,11
46,abbott wilbert,f,14
49,acevedo alonso,f,14
50,acevedo arturo,f,14
53,acevedo bryant,f,14
54,acevedo bryce,f,13
56,acevedo buster,f,14
57,acevedo carlos,f,14
58,acevedo cary,f,12
59,acevedo cedrick,f,15
60,acevedo charley,f,15
61,acevedo chuck,f,13
62,acevedo connie,f,14
63,acevedo cristobal,f,17
65,acevedo derrick,f,15
66,acevedo dexter,f,14
67,acevedo don,f,11
68,acevedo donald,f,14
69,acevedo dong,f,12
70,acevedo felipe,f,14
72,acevedo franklin,f,16
73,acevedo geoffrey,f,16
74,acevedo hipolito,f,16
76,acevedo jerald,f,14
77,acevedo jermaine,f,16
78,acevedo johnny,f,14
79,acevedo johnson,f,15
80,acevedo jorge,f,13
82,acevedo lee,f,11
84,acevedo linwood,f,15
85,acevedo logan,f,13
86,acevedo long,f,12
87,acevedo luke,f,12
89,acevedo lynn,f,12
90,acevedo melvin,f,14
92,acevedo nathan,f,14
93,acevedo nickolas,f,16
94,acevedo nicolas,f,15
96,acevedo paul,f,12
99,acevedo randy,f,13
100,acevedo raymon,f,14
101,acevedo riley,f,13
103,acevedo rosario,f,15
104,acevedo rueben,f,14
105,acevedo scottie,f,15
106,acevedo sonny,f,13
107,acevedo ward,f,12
108,acevedo wilber,f,14
109,acevedo willie,f,14
110,acosta alonso,f,13
111,acosta antoine,f,14
112,acosta art,f,10
114,acosta blair,f,12
115,acosta bryant,f,13
116,acosta buster,f,13
117,acosta charley,f,14
118,acosta cole,f,11
119,acosta cyrus,f,12
120,acosta damon,f,12
121,acosta dirk,f,11
122,acosta domenic,f,14
123,acosta dustin,f,13
124,acosta edwin,f,12
125,acosta emory,f,12
126,acosta enoch,f,12
127,acosta ernesto,f,14
128,acosta filiberto,f,16
129,acosta frederic,f,15
130,acosta gail,f,11
131,acosta geraldo,f,14
132,acosta howard,f,13
133,acosta hyman,f,12
134,acosta issac,f,12
136,acosta jan,f,10
138,acosta jonah,f,12
139,acosta jordon,f,13
141,acosta kasey,f,12
143,acosta lemuel,f,13
144,acosta luigi,f,12
145,acosta malcom,f,13
146,acosta man,f,10
147,acosta nathanial,f,16
148,acosta oliver,f,13
151,acosta reginald,f,15
153,acosta rocky,f,12
154,acosta roland,f,13
156,acosta silas,f,12
157,acosta thanh,f,12
158,acosta van,f,10
159,acosta vance,f,12
160,acosta warner,f,13
161,acosta wilbur,f,13
162,adams anderson,f,14
163,adams andre,f,11
164,adams benedict,f,14
165,adams chadwick,f,14
166,adams colby,f,11
167,adams colton,f,12
168,adams dane,f,10
169,adams danial,f,12
170,adams darius,f,12
171,adams dennis,f,12
172,adams dion,f,10
