,Unnamed: 0,name,n_or_f,name_len
0,0,aaron ashley,f,12
1,1,aaron barron,f,12
2,2,aaron becker,f,12
3,3,aaron berger,f,12
4,4,aaron boone,f,11
5,5,aaron bowers,f,12
7,7,aaron burch,f,11
8,8,aaron dalton,f,12
9,9,aaron duran,f,11
10,10,aaron esparza,f,13
11,11,aaron estrada,f,13
12,12,aaron farmer,f,12
13,13,aaron fitzpatrick,f,17
14,14,aaron flores,f,12
15,15,aaron hamilton,f,14
16,16,aaron harvey,f,12
18,18,aaron holloway,f,14
19,19,aaron hull,f,10
20,20,aaron lynn,f,10
21,21,aaron mccall,f,12
22,22,aaron mcgee,f,11
23,23,aaron mcintosh,f,14
24,24,aaron mckinney,f,14
25,25,aaron ochoa,f,11
26,26,aaron oconnell,f,14
28,28,aaron parks,f,11
29,29,aaron peck,f,10
31,31,aaron phelps,f,12
32,32,aaron pineda,f,12
33,33,aaron pittman,f,13
35,35,aaron rice,f,10
36,36,aaron riley,f,11
37,37,aaron rollins,f,13
38,38,aaron rosario,f,13
39,39,aaron roth,f,10
41,41,aaron sloan,f,11
42,42,aaron tapia,f,11
43,43,aaron ventura,f,13
44,44,aaron wilson,f,12
45,45,aaron winters,f,13
46,46,aaron zimmerman,f,15
48,48,abdul booth,f,11
49,49,abdul bradford,f,14
50,50,abdul bryan,f,11
53,53,abdul carrillo,f,14
54,54,abdul carter,f,12
56,56,abdul faulkner,f,14
57,57,abdul garcia,f,12
58,58,abdul guerra,f,12
59,59,abdul hammond,f,13
60,60,abdul herman,f,12
61,61,abdul jarvis,f,12
62,62,abdul knapp,f,11
63,63,abdul lara,f,10
64,64,abdul lim,f,9
65,65,abdul lynch,f,11
66,66,abdul martinez,f,14
67,67,abdul mora,f,10
68,68,abdul morse,f,11
69,69,abdul mullins,f,13
70,70,abdul odonnell,f,14
71,71,abdul quinn,f,11
74,74,abdul roy,f,9
76,76,abdul schwartz,f,14
78,78,abdul shields,f,13
79,79,abdul singleton,f,15
80,80,abdul snow,f,10
81,81,abdul sparks,f,12
82,82,abdul spence,f,12
83,83,abdul tang,f,10
85,85,abdul villegas,f,14
86,86,abdul waller,f,12
87,87,abe acevedo,f,11
88,88,abe ahmed,f,9
89,89,abe baldwin,f,11
90,90,abe barrera,f,11
91,91,abe farley,f,10
93,93,abe gill,f,8
94,94,abe gray,f,8
96,96,abe hayes,f,9
97,97,abe houston,f,11
99,99,abe ibarra,f,10
100,100,abe klein,f,9
101,101,abe lim,f,7
102,102,abe mccall,f,10
103,103,abe mcfarland,f,13
104,104,abe odonnell,f,12
105,105,abe pierce,f,10
106,106,abe pineda,f,10
107,107,abe pollard,f,11
108,108,abe prince,f,10
109,109,abe pugh,f,8
110,110,abe richardson,f,14
111,111,abe sanders,f,11
112,112,abe santana,f,11
113,113,abe sullivan,f,12
115,115,abe walker,f,10
116,116,abe wall,f,8
118,118,abe wilson,f,10
119,119,abe zavala,f,10
120,120,abel adams,f,10
121,121,abel anderson,f,13
122,122,abel ball,f,9
123,123,abel barker,f,11
124,124,abel beil,f,9
125,125,abel carter,f,11
127,127,abel crosby,f,11
128,128,abel dickson,f,12
129,129,abel elliott,f,12
130,130,abel ellison,f,12
131,131,abel estrada,f,12
132,132,abel farrell,f,12
133,133,abel frank,f,10
134,134,abel fry,f,8
135,135,abel grimes,f,11
136,136,abel harris,f,11
137,137,abel henson,f,11
138,138,abel huber,f,10
139,139,abel huerta,f,11
140,140,abel humphrey,f,13
141,141,abel mcmahon,f,12
142,142,abel melton,f,11
143,143,abel mills,f,10
144,144,abel miranda,f,12
145,145,abel montgomery,f,15
146,146,abel morales,f,12
147,147,abel phelps,f,11
148,148,abel rangel,f,11
149,149,abel rodriguez,f,14
150,150,abel schroeder,f,14
151,151,abel townsend,f,13
153,153,abel ward,f,9
154,154,abel wolf,f,9
155,155,abel yu,f,7
156,156,abraham beard,f,13
157,157,abraham best,f,12
158,158,abraham browning,f,16
160,160,abraham camacho,f,15
163,163,abraham flores,f,14
164,164,abraham foster,f,14
165,165,abraham grant,f,13
166,166,abraham guzman,f,14
167,167,abraham hansen,f,14
168,168,abraham jacobs,f,14
169,169,abraham koch,f,12
170,170,abraham little,f,14
172,172,abraham mata,f,12
173,173,abraham mayo,f,12
175,175,abraham murphy,f,14
176,176,abraham ortega,f,14
177,177,abraham park,f,12
179,179,abraham prince,f,14
180,180,abraham rhodes,f,14
182,182,abraham roman,f,13
183,183,abraham salinas,f,15
184,184,abraham simon,f,13
185,185,abraham sloan,f,13
188,188,abraham villarreal,f,18
189,189,abraham warren,f,14
191,191,abraham york,f,12
192,192,abram adkins,f,12
195,195,abram bailey,f,12
196,196,abram beasley,f,13
197,197,abram boone,f,11
198,198,abram boyle,f,11
199,199,abram briggs,f,12
200,200,abram camacho,f,13
201,201,abram carson,f,12
202,202,abram chambers,f,14
203,203,abram dillon,f,12
204,204,abram edwards,f,13
205,205,abram gallagher,f,15
206,206,abram garner,f,12
211,211,abram kemp,f,10
212,212,abram lawson,f,12
213,213,abram lee,f,9
217,217,abram medrano,f,13
218,218,abram nolan,f,11
219,219,abram pace,f,10
220,220,abram park,f,10
221,221,abram parsons,f,13
224,224,abram portillo,f,14
225,225,abram sanford,f,13
226,226,abram schneider,f,15
227,227,abram shannon,f,13
228,228,abram singleton,f,15
230,230,abram sutton,f,12
231,231,abram taylor,f,12
232,232,abram todd,f,10
234,234,abram vincent,f,13
235,235,abram ward,f,10
236,236,abram watkins,f,13
237,237,abram welch,f,11
241,241,adalberto buckley,f,17
242,242,adalberto callahan,f,18
243,243,adalberto chang,f,15
244,244,adalberto dawson,f,16
245,245,adalberto farley,f,16
247,247,adalberto franco,f,16
248,248,adalberto fry,f,13
250,250,adalberto gardner,f,17
251,251,adalberto garner,f,16
252,252,adalberto hancock,f,17
253,253,adalberto hebert,f,16
255,255,adalberto howard,f,16
256,256,adalberto hudson,f,16
258,258,adalberto mills,f,15
260,260,adalberto nicholson,f,19
261,261,adalberto parker,f,16
262,262,adalberto perkins,f,17
263,263,adalberto pruitt,f,16
264,264,adalberto schneider,f,19
265,265,adalberto shepard,f,17
266,266,adalberto shepherd,f,18
267,267,adalberto tate,f,14
269,269,adalberto ward,f,14
270,270,adalberto webb,f,14
271,271,adalberto welch,f,15
273,273,adam ballard,f,12
274,274,adam best,f,9
275,275,adam burch,f,10
276,276,adam collier,f,12
278,278,adam cook,f,9
279,279,adam cordova,f,12
280,280,adam cortes,f,11
281,281,adam cuevas,f,11
282,282,adam dorsey,f,11
283,283,adam ellis,f,10
285,285,adam glass,f,10
286,286,adam hanson,f,11
287,287,adam hood,f,9
288,288,adam hutchinson,f,15
289,289,adam ibarra,f,11
290,290,adam johns,f,10
291,291,adam juarez,f,11
293,293,adam lowe,f,9
294,294,adam mann,f,9
295,295,adam marks,f,10
296,296,adam mathews,f,12
297,297,adam mcmahon,f,12
298,298,adam nolan,f,10
299,299,adam ochoa,f,10
300,300,adam owens,f,10
301,301,adam park,f,9
302,302,adam parks,f,10
303,303,adam porter,f,11
304,304,adam rollins,f,12
306,306,adam spears,f,11
307,307,adam stevenson,f,14
308,308,adam sweeney,f,12
309,309,adam vargas,f,11
310,310,adan bates,f,10
311,311,adan bernard,f,12
312,312,adan blanchard,f,14
313,313,adan buckley,f,12
314,314,adan burgess,f,12
315,315,adan cabrera,f,12
317,317,adan cardenas,f,13
318,318,adan carroll,f,12
319,319,adan clayton,f,12
320,320,adan cochran,f,12
321,321,adan daniel,f,11
322,322,adan davis,f,10
323,323,adan duncan,f,11
325,325,adan frederick,f,14
326,326,adan gray,f,9
327,327,adan hall,f,9
328,328,adan huang,f,10
329,329,adan kelly,f,10
330,330,adan kennedy,f,12
333,333,adan mahoney,f,12
334,334,adan mays,f,9
336,336,adan mcguire,f,12
337,337,adan montoya,f,12
338,338,adan newton,f,11
339,339,adan noble,f,10
340,340,adan oneill,f,11
341,341,adan robbins,f,12
343,343,adan rojas,f,10
344,344,adan rubio,f,10
345,345,adan sampson,f,12
346,346,adan stanley,f,12
349,349,adan wilkinson,f,14
352,352,adolfo cline,f,12
353,353,adolfo conner,f,13
354,354,adolfo cross,f,12
355,355,adolfo curry,f,12
358,358,adolfo duarte,f,13
359,359,adolfo fleming,f,14
360,360,adolfo garza,f,12
361,361,adolfo gates,f,12
362,362,adolfo guevara,f,14
363,363,adolfo hancock,f,14
364,364,adolfo jacobson,f,15
365,365,adolfo jensen,f,13
